,datetime,r_sen_2,avg_sen_2,std_sen_2,last_water,dow
245,2020-08-14 07:50:43,0,0.0,0.0,6 days 18:10:12,4
246,2020-08-14 08:00:43,0,0.0,0.0,6 days 18:20:12,4
247,2020-08-14 08:10:43,0,0.0,0.0,6 days 18:30:12,4
248,2020-08-14 08:20:43,0,0.0,0.0,6 days 18:40:12,4
249,2020-08-14 08:30:43,0,0.0,0.0,6 days 18:50:12,4
250,2020-08-14 08:40:43,0,0.0,0.0,6 days 19:00:12,4
251,2020-08-14 08:50:43,0,0.0,0.0,6 days 19:10:12,4
252,2020-08-14 09:00:43,0,0.0,0.0,6 days 19:20:12,4
253,2020-08-14 09:10:43,0,0.0,0.0,6 days 19:30:12,4
254,2020-08-14 09:20:43,0,0.0,0.0,6 days 19:40:12,4
255,2020-08-14 09:30:43,0,0.0,0.0,6 days 19:50:12,4
256,2020-08-14 09:40:43,0,0.0,0.0,6 days 20:00:12,4
257,2020-08-14 09:50:43,0,0.0,0.0,6 days 20:10:12,4
258,2020-08-14 10:00:43,0,0.0,0.0,6 days 20:20:12,4
259,2020-08-14 10:10:43,0,0.0,0.0,6 days 20:30:12,4
260,2020-08-14 10:20:43,0,0.0,0.0,6 days 20:40:12,4
261,2020-08-14 10:30:43,0,0.0,0.0,6 days 20:50:12,4
262,2020-08-14 10:40:43,0,0.0,0.0,6 days 21:00:12,4
263,2020-08-14 10:50:43,0,0.0,0.0,6 days 21:10:12,4
264,2020-08-14 11:00:43,0,0.0,0.0,6 days 21:20:12,4
265,2020-08-14 11:10:43,0,0.0,0.0,6 days 21:30:12,4
266,2020-08-14 11:20:43,0,0.0,0.0,6 days 21:40:12,4
267,2020-08-14 11:30:43,0,0.0,0.0,6 days 21:50:12,4
268,2020-08-14 11:40:43,0,0.0,0.0,6 days 22:00:12,4
269,2020-08-14 11:50:43,0,0.0,0.0,6 days 22:10:12,4
270,2020-08-14 12:00:43,0,0.0,0.0,6 days 22:20:12,4
271,2020-08-14 12:10:43,0,0.0,0.0,6 days 22:30:12,4
272,2020-08-14 12:20:43,0,0.0,0.0,6 days 22:40:12,4
273,2020-08-14 12:29:59,0,0.0,0.0,6 days 22:49:28,4
274,2020-08-14 12:39:59,0,0.0,0.0,6 days 22:59:28,4
275,2020-08-14 12:49:59,0,0.0,0.0,6 days 23:09:28,4
276,2020-08-14 12:59:59,0,0.0,0.0,6 days 23:19:28,4
277,2020-08-14 13:09:59,0,0.0,0.0,6 days 23:29:28,4
278,2020-08-14 13:19:59,0,0.0,0.0,6 days 23:39:28,4
279,2020-08-14 13:29:59,0,0.0,0.0,6 days 23:49:28,4
280,2020-08-14 13:39:59,0,0.0,0.0,6 days 23:59:28,4
281,2020-08-14 13:49:59,0,0.0,0.0,7 days 00:09:28,4
282,2020-08-14 13:59:59,0,0.0,0.0,7 days 00:19:28,4
283,2020-08-14 14:09:59,0,0.0,0.0,7 days 00:29:28,4
284,2020-08-14 14:19:59,0,0.0,0.0,7 days 00:39:28,4
285,2020-08-14 14:29:59,0,0.0,0.0,7 days 00:49:28,4
286,2020-08-14 14:39:59,0,0.0,0.0,7 days 00:59:28,4
